Filename,CellID,SumGolATG9,totATG9A
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_001.nd2,1,1.77405e+07,1.91936e+08
,2,1.77293e+06,2.18517e+08
,3,1.08335e+07,1.49148e+08
,4,5.97721e+06,1.66231e+08
,5,1.42203e+07,7.46441e+06
,6,6.9455e+06,2.15073e+08
,7,,2.20792e+08
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_002.nd2,1,1.83904e+07,1.72634e+08
,2,976325,3.64982e+08
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_003.nd2,1,6.3272e+06,1.78821e+08
,2,1.94499e+07,1.44497e+08
,3,163116,1.84463e+08
,4,2.62241e+07,1.15764e+08
,5,197854,2.5991e+08
,6,1.52313e+07,1.69082e+08
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_004.nd2,1,6.1596e+06,1.018e+08
,2,1.38374e+07,1.49355e+08
,3,6.17826e+06,1.13731e+08
,4,2.20024e+06,1.26699e+08
,5,5.86577e+06,7.45747e+07
,6,8.24713e+06,7.95073e+07
,7,843817,9.67683e+07
,8,5.71805e+06,8.16037e+07
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_005.nd2,1,3.90997e+06,1.89503e+08
,2,6.90685e+06,1.94981e+08
,3,325105,1.49091e+08
,4,5.98049e+06,1.36186e+08
,5,1.25474e+07,2.22787e+08
,6,5.53601e+06,1.69875e+08
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_006.nd2,1,1.17059e+06,2.01894e+08
,2,2.62891e+06,1.50475e+08
,3,3.67313e+06,1.56202e+08
,4,1.77778e+06,1.7894e+08
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_007.nd2,1,9.96694e+06,3.71673e+08
,2,8.74433e+06,2.65475e+08
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_008.nd2,1,7.0293e+06,1.83286e+08
,2,2.90593e+07,2.4748e+08
,3,153816,1.17297e+08
,4,3.43786e+07,2.58182e+08
,5,513197,1.31916e+08
,6,169905,1.67694e+08
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_009.nd2,1,4.80639e+07,2.32071e+08
,2,506609,1.63197e+08
,3,4.03967e+07,1.59958e+08
,4,3.60262e+07,1.92116e+08
,5,1.32458e+06,1.92744e+08
,6,1.7496e+07,2.23522e+08
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_010.nd2,1,8.468e+06,2.06527e+08
,2,1.65663e+06,1.41045e+08
,3,7.23637e+06,1.43725e+08
,4,5.51426e+06,7.43252e+07
,5,3.39057e+06,8.66013e+07
,6,1.71781e+06,1.27644e+08
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_011.nd2,1,1.10195e+07,1.19632e+08
,2,1.12762e+07,1.1846e+08
,3,1.48452e+07,1.17896e+08
,4,2.43092e+06,1.25643e+08
,5,5.95526e+06,1.62694e+08
,6,2.83708e+06,1.11337e+08
,7,755253,7.79112e+07
,8,705095,2.3168e+07
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_012.nd2,1,5.93215e+06,1.3592e+08
,2,151974,1.82108e+08
,3,1.39585e+06,2.27302e+08
,4,5.17238e+06,1.13269e+08
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_013.nd2,1,1.87564e+07,2.21913e+08
,2,1.21377e+07,2.29738e+08
,3,1.34898e+07,1.0616e+08
,4,377360,1.05235e+08
,5,4.37826e+06,1.39692e+08
,6,1.95296e+06,1.12393e+08
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_014.nd2,1,2.01403e+07,2.94539e+08
,2,320263,1.69126e+08
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_015.nd2,1,3.42797e+06,2.84216e+08
,2,2.8142e+06,1.93292e+08
,3,5.54835e+06,1.4658e+08
,4,2.63455e+06,1.34203e+08
,5,3.56888e+06,1.63117e+08
,6,3.50368e+06,9.58774e+07
ATG9-GolSeg_3Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_001.nd2,1,1.60821e+07,2.21122e+08
,2,1.12968e+07,3.01227e+08
ATG9-GolSeg_3Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_002.nd2,1,2.67477e+06,1.44813e+08
,2,7.94948e+06,1.55125e+08
,3,2.85157e+06,9.54327e+07
,4,3.55259e+06,2.28533e+08
ATG9-GolSeg_3Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_003.nd2,1,4.51887e+06,1.62754e+08
,2,21833,5.03626e+07
,3,2.93398e+06,1.03519e+07
,4,3.9589e+06,867651
,5,6.05038e+06,1.13334e+08
,6,1.99566e+06,1.33532e+08
,7,1.26085e+07,1.28289e+08
,8,,4.95602e+07
ATG9-GolSeg_3Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_004.nd2,1,382676,1.29535e+08
,2,3.19148e+06,8.1815e+07
,3,6.30628e+06,9.01981e+07
,4,3.71126e+06,1.09093e+08
,5,8.5547e+06,1.19035e+08
,6,3.17661e+06,1.67143e+08
ATG9-GolSeg_3Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_005.nd2,1,175072,1.54097e+08
,2,3.03901e+07,3.23361e+07
,3,422390,7.7719e+07
,4,2.84307e+06,4.11275e+07
,5,3.52283e+06,1.11379e+08
,6,4.9485e+06,1.61445e+08
,7,1.95202e+06,1.82364e+08
ATG9-GolSeg_3Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_006.nd2,1,4.09776e+06,1.48558e+08
,2,8.32584e+06,1.29274e+08
,3,7.85105e+06,1.48316e+08
,4,1.89921e+06,1.41185e+08
ATG9-GolSeg_3Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_007.nd2,1,163168,1.02171e+08
,2,452530,8.57409e+07
,3,509725,7.53667e+07
,4,674071,6.74654e+07
,5,1.13959e+06,8.09958e+07
,6,4.60916e+06,1.54094e+08
ATG9-GolSeg_3Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_008.nd2,1,1.81583e+06,1.54524e+08
,2,699440,1.76335e+08
,3,4.38232e+06,1.12143e+08
,4,1.47736e+06,1.55706e+08
,5,102537,7.96513e+07
,6,2.7826e+06,1.66706e+08
ATG9-GolSeg_3Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_009.nd2,1,800886,1.02436e+08
,2,1.49251e+06,1.01622e+08
,3,86768,9.51677e+07
,4,7.31593e+06,1.0904e+08
,5,3.03694e+06,6.10273e+07
,6,2.4564e+06,8.58742e+07
,7,2.40548e+06,1.53054e+08
,8,3.03523e+06,1.70794e+08
ATG9-GolSeg_3Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_010.nd2,1,1.24548e+06,1.03621e+08
,2,2.18779e+06,1.03949e+08
,3,3.66322e+06,1.56497e+08
,4,2.38809e+06,1.54773e+08
,5,113144,1.1537e+08
ATG9-GolSeg_3Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_011.nd2,1,2.80649e+07,1.3102e+08
,2,5477,6.45293e+07
,3,2.09708e+07,1.45244e+08
,4,3.99302e+06,1.30733e+08
,5,1.07851e+06,7.69515e+07
,6,804070,7.78029e+07
ATG9-GolSeg_3Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_012.nd2,1,4.43742e+06,2.41938e+08
,2,4.43663e+06,3.14812e+08
ATG9-GolSeg_3Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_013.nd2,1,2.36911e+07,2.48209e+08
,2,1.52647e+07,1.71691e+08
,3,7.78037e+06,1.29442e+08
,4,1.12086e+07,1.65156e+08
ATG9-GolSeg_3Jan22_4019_000_T_NSW4019_TGN46-4888_ATG9-647_B_60X_001.nd2,1,9.9424e+06,1.99952e+08
,2,8.09117e+06,3.30434e+08
ATG9-GolSeg_3Jan22_4019_000_T_NSW4019_TGN46-4888_ATG9-647_B_60X_002.nd2,1,4.84677e+06,1.23994e+08
,2,1.81098e+06,1.51659e+08
,3,35514,6.10273e+07
,4,3.6441e+06,1.19226e+08
,5,5.17629e+06,1.32188e+08
,6,490024,8.24643e+07
,7,7.46688e+06,1.50412e+08
,8,1.26677e+06,5.9357e+07
ATG9-GolSeg_3Jan22_4019_000_T_NSW4019_TGN46-4888_ATG9-647_B_60X_003.nd2,1,2.63171e+06,1.82611e+08
,2,4.5258e+06,2.26872e+08
,3,4.53002e+06,1.6765e+08
,4,1.49543e+06,1.47935e+08
,5,3.09071e+06,1.17207e+08
,6,6.31756e+06,1.28799e+08
ATG9-GolSeg_3Jan22_4019_000_T_NSW4019_TGN46-4888_ATG9-647_B_60X_004.nd2,1,8.33431e+06,2.14648e+08
,2,1.3963e+07,4.08524e+08
ATG9-GolSeg_3Jan22_4019_000_T_NSW4019_TGN46-4888_ATG9-647_B_60X_005.nd2,1,951535,1.23604e+08
,2,4.29637e+06,1.2942e+08
,3,2.69265e+06,9.48286e+07
,4,738045,1.02088e+08
,5,648158,7.43153e+07
,6,1.36193e+06,1.58302e+08
,7,217997,6.74015e+07
,8,2.67997e+06,1.50261e+08
ATG9-GolSeg_3Jan22_4019_000_T_NSW4019_TGN46-4888_ATG9-647_B_60X_006.nd2,1,4.76899e+06,1.66864e+08
,2,6.33162e+06,1.64492e+08
,3,1.98961e+06,1.03722e+08
,4,4.04413e+06,1.8211e+08
ATG9-GolSeg_3Jan22_4019_000_T_NSW4019_TGN46-4888_ATG9-647_B_60X_007.nd2,1,8.84587e+06,3.54104e+08
,2,5.09839e+06,1.99261e+08
ATG9-GolSeg_3Jan22_4019_000_T_NSW4019_TGN46-4888_ATG9-647_B_60X_008.nd2,1,2.04877e+07,3.63286e+08
,2,1.03193e+07,3.34251e+08
ATG9-GolSeg_3Jan22_4019_000_T_NSW4019_TGN46-4888_ATG9-647_B_60X_009.nd2,1,1.48723e+06,1.75495e+08
,2,693247,1.47829e+08
,3,1.82995e+06,6.64409e+07
,4,1.25907e+06,1.02596e+08
ATG9-GolSeg_3Jan22_4019_000_T_NSW4019_TGN46-4888_ATG9-647_B_60X_010.nd2,1,1.82598e+06,7.20883e+07
,2,714485,1.06091e+08
,3,5.0311e+06,1.2773e+08
,4,4.24314e+06,1.0976e+08
,5,2.13163e+06,7.53409e+07
,6,68172,1.09233e+08
,7,20090,1.13235e+08
,8,262512,1.19555e+08
ATG9-GolSeg_3Jan22_4019_000_T_NSW4019_TGN46-4888_ATG9-647_B_60X_011.nd2,1,7.34215e+07,2.16452e+08
,2,681591,2.40557e+08
,3,1.62519e+06,1.87046e+08
,4,2.65022e+06,1.40411e+08
ATG9-GolSeg_3Jan22_4019_000_T_NSW4019_TGN46-4888_ATG9-647_B_60X_012.nd2,1,7.07474e+06,2.99011e+08
,2,3.56807e+06,2.89453e+08
ATG9-GolSeg_3Jan22_4019_000_T_NSW4019_TGN46-4888_ATG9-647_B_60X_013.nd2,1,4.68943e+06,1.80074e+08
,2,37082,2.80295e+08
ATG9-GolSeg_3Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_001.nd2,1,1.4508e+06,1.25685e+08
,2,5.63197e+06,1.61715e+08
,3,3.02755e+06,1.33988e+08
,4,3.37183e+06,1.92229e+08
ATG9-GolSeg_3Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_002.nd2,1,5.56944e+06,2.64692e+08
,2,6.63725e+06,1.24142e+08
,3,1.54592e+07,1.49242e+08
,4,737012,1.17954e+08
ATG9-GolSeg_3Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_003.nd2,1,1.2777e+07,1.93764e+08
,2,2.40485e+06,1.30029e+08
,3,6.20698e+06,1.92832e+08
,4,3.55926e+06,1.16489e+08
ATG9-GolSeg_3Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_004.nd2,1,3.52936e+06,1.23383e+08
,2,1.03257e+07,7.30527e+07
,3,5.14916e+06,1.07382e+08
,4,5.54569e+06,9.66281e+07
,5,1.29496e+06,1.46772e+08
,6,1.43972e+06,7.75881e+07
ATG9-GolSeg_3Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_005.nd2,1,656454,1.18157e+08
,2,1.52427e+06,1.34556e+08
,3,6.33797e+06,1.30613e+08
,4,3.06845e+06,1.01119e+08
,5,1.28753e+06,1.36407e+08
,6,2.28822e+06,1.48503e+08
ATG9-GolSeg_3Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_006.nd2,1,4.76016e+06,1.50683e+08
,2,2.33571e+06,1.95175e+08
,3,1.33134e+06,1.55967e+08
,4,243906,1.78407e+08
ATG9-GolSeg_3Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_007.nd2,1,2.17017e+06,9.44636e+07
,2,3.39153e+06,1.06341e+08
,3,675878,2.44281e+08
,4,2.57279e+06,1.65878e+08
ATG9-GolSeg_3Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_008.nd2,1,652811,1.16836e+08
,2,4.17975e+06,1.0931e+08
,3,155030,5.3769e+07
,4,580128,8.82686e+07
,5,1.22174e+06,6.43613e+07
,6,1.70615e+06,9.77362e+07
,7,772952,9.34883e+07
,8,433061,1.17404e+08
ATG9-GolSeg_3Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_009.nd2,1,1.96834e+06,1.21154e+08
,2,2.24924e+06,8.60707e+07
,3,1.44506e+06,1.34892e+08
,4,2.12766e+06,1.62031e+08
,5,223205,4.44936e+07
,6,744172,1.25382e+08
,7,229597,2.62403e+07
ATG9-GolSeg_3Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_010.nd2,1,5.03146e+06,2.25429e+08
,2,3.32493e+06,2.81624e+08
,3,2.81437e+06,1.46965e+08
,4,3.86937e+06,2.17599e+08
ATG9-GolSeg_3Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_011.nd2,1,4.59066e+06,1.94168e+08
,2,7.10643e+06,1.61547e+08
,3,30580,9.74814e+07
,4,3.08497e+06,1.15261e+07
,5,796068,9.80851e+06
,6,3.52721e+06,8.39011e+07
,7,,1.175e+08
,8,,1.76489e+08
ATG9-GolSeg_3Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_012.nd2,1,218863,1.0708e+08
,2,5.32766e+06,1.76388e+08
,3,4.87002e+06,1.90561e+08
,4,1.32037e+07,1.63406e+08
,5,3.5645e+06,1.71352e+08
,6,948351,1.20843e+07
,7,,1.40708e+08
ATG9-GolSeg_3Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_013.nd2,1,1.82082e+07,2.55242e+08
,2,1.33967e+07,1.91714e+08
,3,3.03017e+06,1.24813e+08
,4,3.11695e+06,1.22644e+08
ATG9-GolSeg_3Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_014.nd2,1,1.35994e+07,1.82552e+08
,2,7.21721e+06,1.90559e+08
,3,5.56596e+06,1.33017e+08
,4,1.88382e+06,1.35453e+08
,5,4.70878e+07,2.01162e+07
,6,40482,1.02866e+08
ATG9-GolSeg_3Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_015.nd2,1,2.04487e+06,1.19818e+08
,2,2.78852e+06,1.74111e+08
,3,5.87165e+06,1.11251e+08
,4,1.26601e+06,1.54894e+08
,5,1.21909e+07,1.16144e+08
,6,1.93294e+06,1.0829e+08
,7,6.91943e+06,2.36192e+08
ATG9-GolSeg_3Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_016.nd2,1,92619,1.32077e+08
,2,2.91766e+07,1.21738e+08
,3,3.48975e+07,1.52734e+08
,4,6.70664e+06,1.48864e+08
,5,1.06873e+06,1.22902e+08
,6,6.43367e+06,5.27747e+06
,7,,2.1769e+08
